Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
BR;Campinas;Campinas-Taquaral;-22.87461894, -47.05897276;NO2;Sao Paulo CETESB;µg/m³;6;2023-04-05T12:00:00-03:00;Brazil
BR;Jacareí;Jacareí;-23.29419924, -45.96823386;NO2;Sao Paulo CETESB;µg/m³;8;2023-04-05T12:00:00-03:00;Brazil
BR;Osasco;Osasco;-23.52672142, -46.79207766;PM2.5;Sao Paulo CETESB;µg/m³;32;2023-04-05T12:00:00-03:00;Brazil
BR;Rio Claro-Jd.Guanabara;Rio Claro-Jd.Guanabara;-22.43904378887939, -47.58147331085557;PM2.5;Sao Paulo CETESB;µg/m³;28;2023-04-05T12:00:00-03:00;Brazil
BR;Mauá;Mauá;-23.668549, -46.46600027;PM10;Sao Paulo CETESB;µg/m³;48;2023-04-05T12:00:00-03:00;Brazil
BR;Mauá;Mauá;-23.668549, -46.46600027;O3;Sao Paulo CETESB;µg/m³;68;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;N.Senhora do Ó;-23.48009871, -46.69205192;O3;Sao Paulo CETESB;µg/m³;91;2023-04-05T12:00:00-03:00;Brazil
BR;;Perus;-23.413209739894405, -46.756053990921224;PM10;Sao Paulo CETESB;µg/m³;22;2023-02-15T21:00:00-03:00;Brazil
BR;Cerqueira César;Cerqueira César;-23.55354256, -46.67270477;CO;Sao Paulo CETESB;ppm;0.6;2023-04-05T12:00:00-03:00;Brazil
BR;São José dos Campos;S.José Campos-Jd.Satelite;-23.22364548, -45.8908;PM2.5;Sao Paulo CETESB;µg/m³;13;2023-03-31T12:00:00-03:00;Brazil
BR;São Paulo;Santo Amaro;-23.65497723, -46.70999838;O3;Sao Paulo CETESB;µg/m³;104;2023-04-05T12:00:00-03:00;Brazil
BR;São José do Rio Preto;São José do Rio Preto;-20.78468928, -49.39827779;PM10;Sao Paulo CETESB;µg/m³;38;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Itaim Paulista;-23.50154736, -46.42073684;O3;Sao Paulo CETESB;µg/m³;83;2023-04-05T12:00:00-03:00;Brazil
BR;Paulínia-Sta Terezinha;Paulínia-Sta Terezinha;-22.780208950215425, -47.139036494729396;PM2.5;Sao Paulo CETESB;µg/m³;0;2023-02-15T21:00:00-03:00;Brazil
